,name,sex,age,is_adult,job,class_dept,is_passenger,joined,boat_body,ticketprice,survived
57,"ANDERSSON, Miss Erna Alexandra",female,16.0,False,,3rd Class Passenger,True,Southampton,,7.925000000000001,True
58,"ANDERSSON, Miss Ida Augusta Margareta",female,38.0,True,,3rd Class Passenger,True,Southampton,,7.775,False
59,"ANDERSSON, Miss Sigrid Elisabeth",female,11.0,False,,3rd Class Passenger,True,Southampton,,31.275,False
60,"ANDERSSON, Mrs Alfrida Konstantia Brogren",female,39.0,True,,3rd Class Passenger,True,Southampton,,31.275,False
61,"ANDERSSON, Mr Anders Johan",male,39.0,True,General Labourer,3rd Class Passenger,True,Southampton,,31.275,False
62,"ANDERSSON, Mr Johan Samuel",male,26.0,True,Carpenter / Joiner,3rd Class Passenger,True,Southampton,,7.775,False
63,"ANDREASSON, Mr Pål Edvin",male,20.0,True,General Labourer,3rd Class Passenger,True,Southampton,,7.854166666666666,False
64,"ANDREW, Mr Edgar Samuel",male,17.0,False,,2nd Class Passenger,True,Southampton,,11.5,False
65,"ANDREW, Mr Frank Thomas",male,26.0,True,Miner,2nd Class Passenger,True,Southampton,,10.5,False
66,"ANDREWS, Miss Kornelia Theodosia",female,62.0,True,,1st Class Passenger,True,Cherbourg,10,77.95833333333334,True
67,"ANDREWS, Mr Charles Edward",male,19.0,True,Saloon Steward (2nd class),Victualling Crew,False,Southampton,16,0.0,True
68,"ANDREWS, Mr Thomas",male,39.0,True,Shipbuilder,1st Class Passenger,True,Belfast,,0.0,False
69,"ANGLE, Mrs Florence Agnes",female,36.0,True,,2nd Class Passenger,True,Southampton,11,26.0,True
70,"ANGLE, Mr William",male,31.0,True,Tile Maker,2nd Class Passenger,True,Southampton,,26.0,False
71,"APPLETON, Mrs Charlotte",female,53.0,True,,1st Class Passenger,True,Southampton,2,51.47916666666667,True
72,"ARCHER, Mr Ernest Edward",male,35.0,True,Able Seaman,Deck Crew,False,Southampton,16,0.0,True
73,"ARNOLD-FRANCHI, MrJosef",male,25.0,True,General Labourer,3rd Class Passenger,True,Southampton,,17.8,False
74,"ARNOLD-FRANCHI, MrsJosefine",female,18.0,True,,3rd Class Passenger,True,Southampton,,17.8,False
75,"ARONSSON, Mr Ernst Axel Algot",male,25.0,True,General Labourer,3rd Class Passenger,True,Southampton,,7.775,False
76,"ARTAGAVEYTIA, MrRamon",male,71.0,True,Businessman,1st Class Passenger,True,Cherbourg,[22],49.50416666666667,False
77,"ASHBY, Mr John",male,57.0,True,,2nd Class Passenger,True,Southampton,,13.0,False
78,"ASHCROFT, Mr Austin Aloysius",male,26.0,True,Clerk,Victualling Crew,False,Southampton,,0.0,False
79,"ASHE, Mr Henry Wellesley",male,41.0,True,Glory hole steward (3rd class),Victualling Crew,False,Southampton,[34],0.0,False
80,"ASIM, Mr Adola",male,35.0,True,General Labourer,3rd Class Passenger,True,Southampton,,7.05,False
81,"ASPESLAGH, Mr Georges",male,26.0,True,Assistant Plateman,Restaurant Staff,False,Southampton,,0.0,False
82,"ASPLUND, MasterClarence Gustaf Hugo",male,9.0,False,,3rd Class Passenger,True,Southampton,,31.387500000000003,False
83,"ASPLUND, Master Carl Edgar",male,5.0,False,,3rd Class Passenger,True,Southampton,,31.387500000000003,False
84,"ASPLUND, Master Edvin Rojj Felix",male,3.0,False,,3rd Class Passenger,True,Southampton,15,31.387500000000003,True
85,"ASPLUND, Master Filip Oscar",male,13.0,False,,3rd Class Passenger,True,Southampton,,31.387500000000003,False
86,"ASPLUND, Miss Lillian Gertrud",female,5.0,False,,3rd Class Passenger,True,Southampton,15,31.387500000000003,True
87,"ASPLUND, Mrs Selma Augusta Emilia",female,38.0,True,,3rd Class Passenger,True,Southampton,15,31.387500000000003,True
88,"ASPLUND, Mr Carl Oscar Vilhelm Gustafsson",male,40.0,True,General Labourer,3rd Class Passenger,True,Southampton,[142],31.387500000000003,False
89,"ASPLUND, Mr Johan Charles",male,23.0,True,,3rd Class Passenger,True,Southampton,13,7.795833333333333,True
90,"ASSAM, Mr Ali",male,23.0,True,General Labourer,3rd Class Passenger,True,Southampton,,7.05,False
91,"ASTOR, Colonel John Jacob",male,47.0,True,Property Developer / Real Estate,1st Class Passenger,True,Cherbourg,[124],247.525,False
92,"ASTOR, Mrs Madeleine Talmage",female,18.0,True,,1st Class Passenger,True,Cherbourg,4,247.525,True
93,"ATTALA, Mr Sleiman Khalil",male,27.0,True,Journalist,3rd Class Passenger,True,Cherbourg,,7.2250000000000005,False
94,"ATĀ ALLĀH, Miss Malakah",female,18.0,True,,3rd Class Passenger,True,Cherbourg,,14.458333333333332,False
95,"AUBART, Mme. Léontine Pauline",female,24.0,True,Singer,1st Class Passenger,True,Cherbourg,9,69.3,True
96,"AUGUSTSSON, Mr Albert",male,23.0,True,General Labourer,3rd Class Passenger,True,Southampton,,7.854166666666666,False
97,"AVERY, Mr James Albert",male,20.0,True,Trimmer,Engineering Crew,False,Southampton,15,0.0,True
98,"AYLING, Mr Edwin George",male,23.0,True,Assistant Vegetable Cook,Victualling Crew,False,Southampton,,0.0,False
99,"AYYŪB-DĀHIR, Miss Bannūrah",female,15.0,False,,3rd Class Passenger,True,Cherbourg,C,7.229166666666667,True
100,"BACK, Mr Charles Frederick",male,37.0,True,Assistant Lounge Steward,Victualling Crew,False,Belfast,,0.0,False
101,"BACKSTRÖM, Mrs Maria Mathilda",female,33.0,True,,3rd Class Passenger,True,Southampton,,15.85,True
102,"BACKSTRÖM, Mr Karl Alfred",male,32.0,True,General Labourer,3rd Class Passenger,True,Southampton,,15.85,False
103,"BADMAN, Miss Emily Louisa",female,18.0,True,Servant,3rd Class Passenger,True,Southampton,C,8.05,True
104,"BADT, Mr Mohamed",male,40.0,True,Farmer,3rd Class Passenger,True,Cherbourg,,7.2250000000000005,False
105,"BAGGOTT, Mr Allen Marden",male,28.0,True,Saloon Steward,Victualling Crew,False,Southampton,9,0.0,True
106,"BAGLEY, Mr Edward Henry",male,33.0,True,Saloon Steward,Victualling Crew,False,Southampton,,0.0,False
107,"BAILEY, Mr George",male,44.0,True,Saloon Steward,Victualling Crew,False,Belfast,[161],0.0,False
108,"BAILEY, Mr George Frank",male,46.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
109,"BAILEY, Mr Henry Joseph",male,46.0,True,Master-at-arms,Deck Crew,False,Southampton,16,0.0,True
110,"BAILEY, Mr Percy",male,18.0,True,Butcher's Assistant,2nd Class Passenger,True,Southampton,,11.5,False
111,"BAINBRIGGE, Mr Charles Robert",male,22.0,True,Horse Trainer,2nd Class Passenger,True,Southampton,,10.5,False
112,"BAINES, Mr Richard",male,58.0,True,Greaser,Engineering Crew,False,Southampton,,0.0,False
113,"BAKIĆ, Mr Cerin",male,26.0,True,General Labourer,3rd Class Passenger,True,Southampton,,7.895833333333333,False
114,"BALL, Mr Percy",male,18.0,True,Plate Steward,Victualling Crew,False,Southampton,13,0.0,True
115,"BALLS, Mrs Ada E.",female,36.0,True,,2nd Class Passenger,True,Southampton,10,13.0,True
116,"BANEWER, Mr Solomon",male,42.0,True,Merchant,2nd Class Passenger,True,Southampton,,13.0,False
117,"BANFI, Sig. Ugo",male,24.0,True,Waiter,Restaurant Staff,False,Southampton,,0.0,False
118,"BANFIELD, Mr Frederick James",male,28.0,True,Miner,2nd Class Passenger,True,Southampton,,10.5,False
119,"BANNON, Mr John Joseph",male,34.0,True,Greaser,Engineering Crew,False,Southampton,,0.0,False
120,"BARBARA, Miss Saiide",female,18.0,True,Housekeeper,3rd Class Passenger,True,Cherbourg,,14.454166666666666,False
121,"BARBARA, Mrs Catherine David",female,45.0,True,Housekeeper,3rd Class Passenger,True,Cherbourg,,14.454166666666666,False
122,"BARBER, Miss Ellen Mary",female,26.0,True,Personal Maid,1st Class Passenger,True,Southampton,6,78.85,True
123,"BARKER, Mr Albert Vale",male,19.0,True,Baker,Victualling Crew,False,Southampton,,0.0,False
124,"BARKER, Mr Ernest Thomas",male,40.0,True,Saloon Steward (1st class),Victualling Crew,False,Southampton,[159],0.0,False
125,"BARKER, Mr Reginald Lomond",male,42.0,True,"Second Purser, 1st Class",Victualling Crew,False,Belfast,,0.0,False
126,"BARKWORTH, Mr Algernon Henry",male,47.0,True,Justice of the Peace,1st Class Passenger,True,Southampton,B,30.0,True
127,"BARLOW, Mr Charles Henry",male,30.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
128,"BARLOW, Mr George",male,39.0,True,Bed Room Steward,Victualling Crew,False,Southampton,,0.0,False
129,"BARNES, Mr Charles",male,29.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
130,"BARNES, Mr Frederick Charles",male,40.0,True,Assistant baker,Victualling Crew,False,Southampton,[26],0.0,False
131,"BARNES, Mr John",male,39.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
132,"BARRATT, Mr Arthur",male,16.0,False,Bell Boy,Victualling Crew,False,Southampton,,0.0,False
133,"BARRETT, Mr Frederick William",male,33.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
134,"BARRETT, Mr Frederick William",male,29.0,True,Leading Fireman,Engineering Crew,False,Southampton,13,0.0,True
135,"BARRINGER, Mr Arthur William",male,34.0,True,Saloon Steward (1st class),Victualling Crew,False,Belfast,,0.0,False
136,"BARROW, Mr Charles Henry John",male,35.0,True,Assistant butcher,Victualling Crew,False,Southampton,,0.0,False
137,"BARROWS, Mr Edward William Peter",male,32.0,True,Saloon Steward,Victualling Crew,False,Southampton,,0.0,False
138,"BARRY, Miss Julia",female,32.0,True,Housekeeper,3rd Class Passenger,True,Queenstown,,7.879166666666666,False
139,"BARTON, Mr David John",male,22.0,True,General Labourer,3rd Class Passenger,True,Southampton,,8.05,False
140,"BARTON, Mr Sidney John",male,26.0,True,3rd Class Steward,Victualling Crew,False,Southampton,,0.0,False
141,"BASILICO, Sig. Giovanni",male,27.0,True,Waiter,Restaurant Staff,False,Southampton,,0.0,False
142,"BASSANI, Mrs Albina",female,31.0,True,Personal Maid,1st Class Passenger,True,Cherbourg,8,76.29166666666667,True
143,"BATEMAN, Revd Robert James",male,52.0,True,Priest / Minister,2nd Class Passenger,True,Southampton,[174],12.525,False
144,"BATOSHEV, Mr Hristo Lalev",male,23.0,True,General Labourer,3rd Class Passenger,True,Southampton,,7.895833333333333,False
145,"BAUMANN, Mr John David",male,48.0,True,Businessman,1st Class Passenger,True,Cherbourg,,25.924999999999997,False
146,"BAXTER, Mrs Hélène",female,50.0,True,,1st Class Passenger,True,Cherbourg,6,247.52083333333334,True
147,"BAXTER, Mr Harry Ross",male,53.0,True,3rd Class Steward,Victualling Crew,False,Southampton,,0.0,False
148,"BAXTER, Mr Quigg Edmond",male,24.0,True,,1st Class Passenger,True,Cherbourg,,247.52083333333334,False
149,"BAXTER, Mr Thomas Ferguson",male,55.0,True,Linen Steward (1st class),Victualling Crew,False,Southampton,[235],0.0,False
150,"BAZZI, Sig. Narciso",male,33.0,True,Waiter,Restaurant Staff,False,Southampton,,0.0,False
151,"BAZZĪ, Mr Rashīd Al-Hāj 'Adb al-Husayn",male,30.0,True,,3rd Class Passenger,True,Cherbourg,,7.229166666666667,False
152,"BEANE, Mrs Ethel Louisa",female,22.0,True,,2nd Class Passenger,True,Southampton,9,26.0,True
153,"BEANE, Mr Edward",male,32.0,True,,2nd Class Passenger,True,Southampton,9,26.0,True
154,"BEATTIE, Mr Joseph John",male,40.0,True,Greaser,Engineering Crew,False,Belfast,,0.0,False
155,"BEATTIE, Mr Thomson",male,36.0,True,Landowner,1st Class Passenger,True,Southampton,A[331],75.24166666666667,False
156,"BEAUCHAMP, Mr George William",male,24.0,True,Fireman,Engineering Crew,False,Southampton,13,0.0,True
157,"BEAUCHAMP, Mr Henry James",male,43.0,True,Club Head Steward,2nd Class Passenger,True,Southampton,,26.0,False
158,"BEAVAN, Mr William Thomas",male,20.0,True,General Labourer,3rd Class Passenger,True,Southampton,,8.05,False
159,"BECKER, Master Richard F.",male,1.0,False,,2nd Class Passenger,True,Southampton,11,39.0,True
160,"BECKER, Miss Marion Louise",female,4.0,False,,2nd Class Passenger,True,Southampton,11,39.0,True
161,"BECKER, Miss Ruth Elizabeth",female,12.0,False,,2nd Class Passenger,True,Southampton,13,39.0,True
162,"BECKER, Mrs Nellie E.",female,35.0,True,,2nd Class Passenger,True,Southampton,11,39.0,True
163,"BECKWITH, Mrs Sarah Maybell",female,46.0,True,,1st Class Passenger,True,Southampton,5,52.55416666666667,True
164,"BECKWITH, Mr Richard Leonard",male,37.0,True,,1st Class Passenger,True,Southampton,5,52.55416666666667,True
165,"BEDFORD, Mr William Barnett",male,31.0,True,Assistant Roast Cook,Victualling Crew,False,Southampton,,0.0,False
166,"BEEDEM, Mr George Arthur",male,35.0,True,2nd Class Bedroom Steward,Victualling Crew,False,Southampton,,0.0,False
167,"BEERE, Mr William",male,19.0,True,Kitchen Porter,Victualling Crew,False,Southampton,,0.0,False
168,"BEESLEY, Mr Lawrence",male,34.0,True,Teacher,2nd Class Passenger,True,Southampton,13,13.0,True
169,"BEHR, Mr Karl Howell",male,26.0,True,,1st Class Passenger,True,Cherbourg,5,30.0,True
170,"BELL, Mr Joseph",male,51.0,True,Chief Engineer,Engineering Crew,False,Belfast,,0.0,False
171,"BENDELL, Mr Frank",male,23.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
172,"BENGTSSON, Mr Jan Viktor",male,26.0,True,General Labourer,3rd Class Passenger,True,Southampton,,7.775,False
173,"BENHAM, Mr Fred John",male,30.0,True,Saloon Steward (2nd class),Victualling Crew,False,Southampton,,0.0,False
174,"BENNETT, Mrs Mabel Kate",female,33.0,True,Stewardess,Victualling Crew,False,Southampton,5,0.0,True
175,"BENNETT, Mr George Alfred",male,30.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
176,"BENTHAM, Miss Lillian Winifred",female,19.0,True,,2nd Class Passenger,True,Southampton,12,13.0,True
177,"BENVILLE, Mr Edward",male,47.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
178,"BERGLUND, Mr Karl Ivar Sven",male,22.0,True,General Labourer,3rd Class Passenger,True,Southampton,,9.35,False
179,"BERNARDI, Sig. Battista",male,22.0,True,Assistant Waiter,Restaurant Staff,False,Southampton,[215],0.0,False
180,"BERRIMAN, Mr William John",male,23.0,True,,2nd Class Passenger,True,Southampton,,13.0,False
181,"BESSANT, Mr Edward",male,31.0,True,1st class baggage steward,Victualling Crew,False,Southampton,,0.0,False
182,"BESSANT, Mr William Edward Lowe",male,40.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
183,"BESSETTE, Miss Nellie Mayo",female,39.0,True,Personal Maid,1st Class Passenger,True,Cherbourg,8,63.358333333333334,True
184,"BEST, Mr Edwin Alfred",male,40.0,True,Saloon Steward (1st class),Victualling Crew,False,Belfast,,0.0,False
185,"BEUX, Mr David",male,25.0,True,Assistant Waiter,Restaurant Staff,False,Southampton,,0.0,False
186,"BEVIS, Mr Joseph Henry",male,22.0,True,Trimmer,Engineering Crew,False,Southampton,,0.0,False
187,"BIDDLECOMBE, MrReginald Charles",male,31.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
188,"BIDOIS, Miss Rosalie",female,46.0,True,Personal Maid,1st Class Passenger,True,Cherbourg,4,247.525,True
189,"BIGGS, Mr Edward Charles",male,20.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
190,"BILLOWS, Mr James",male,20.0,True,Trimmer,Engineering Crew,False,Southampton,,0.0,False
191,"BING, Mr Lee",male,32.0,True,Seaman,3rd Class Passenger,True,Southampton,C,56.49583333333334,True
192,"BINSTEAD, Mr Walter William",male,20.0,True,Trimmer,Engineering Crew,False,Southampton,3,0.0,True
193,"BIRD, Miss Ellen",female,31.0,True,Personal Maid,1st Class Passenger,True,Southampton,8,221.77916666666667,True
194,"BIRKELAND, Mr Hans Martin Monsen",male,21.0,True,Seaman,3rd Class Passenger,True,Southampton,,7.775,False
195,"BIRNBAUM, Mr Jakob",male,24.0,True,,1st Class Passenger,True,Cherbourg,[148],26.0,False
196,"BISHOP, Mrs Helen",female,19.0,True,,1st Class Passenger,True,Cherbourg,7,91.07916666666667,True
197,"BISHOP, Mr Dickinson H.",male,25.0,True,,1st Class Passenger,True,Cherbourg,7,91.07916666666667,True
198,"BISHOP, Mr Walter Alexander",male,34.0,True,1st Class Bedroom Steward,Victualling Crew,False,Belfast,,0.0,False
199,"BIÉTRIX, Mr George Baptiste",male,28.0,True,Cook,Restaurant Staff,False,Southampton,,0.0,False
200,"BJÖRKLUND, Mr Ernst Herbert",male,18.0,True,General Labourer,3rd Class Passenger,True,Southampton,,7.75,False
201,"BJÖRNSTRÖM-STEFFANSSON, MrMauritz Håkan",male,28.0,True,Businessman,1st Class Passenger,True,Southampton,D,26.55,True
202,"BLACK, Mr Alexander",male,28.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
203,"BLACK, Mr D.",male,41.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
204,"BLACKMAN, Mr Albert Edward",male,23.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
205,"BLACKWELL, Mr Stephen Weart",male,45.0,True,,1st Class Passenger,True,Southampton,,35.5,False
206,"BLADES, Mr Frederick Charles",male,17.0,False,Lift Steward,Victualling Crew,False,Southampton,,0.0,False
207,"BLAKE, Mr John Douglas Stanley George",male,26.0,True,Mess Steward,Engineering Crew,False,Belfast,,0.0,False
208,"BLAKE, Mr Percival Albert",male,22.0,True,Trimmer,Engineering Crew,False,Southampton,15,0.0,True
209,"BLAKE, Mr Thomas Henry",male,37.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
210,"BLANEY, Mr James",male,32.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
211,"BLANK, Mr Henry",male,39.0,True,Jeweller,1st Class Passenger,True,Cherbourg,7,31.0,True
212,"BLANN, Mr Eustace Horatius",male,21.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
213,"BLISS, Mrs Emma",female,45.0,True,Stewardess,Victualling Crew,False,Southampton,15,0.0,True
214,"BLUMET, Mr Jean Baptiste",male,26.0,True,Pantryman,Restaurant Staff,False,Southampton,,0.0,False
215,"BOCHATAY, Mr Alexis Joseph",male,30.0,True,Chef,Victualling Crew,False,Southampton,,0.0,False
216,"BOCHET, Mr Pietro Giuseppe",male,43.0,True,Waiter,Restaurant Staff,False,Southampton,,0.0,False
217,"BOGIE, Mr Norman Leslie",male,59.0,True,2nd Class Bedroom Steward,Victualling Crew,False,Southampton,[274],0.0,False
218,"BOLHUIS, Mr Hendrik",male,27.0,True,Larder Cook,Restaurant Staff,False,Southampton,,0.0,False
219,"BOND, Mr William John",male,45.0,True,Bed Room Steward,Victualling Crew,False,Belfast,,0.0,False
220,"BONNELL, Miss Caroline",female,30.0,True,,1st Class Passenger,True,Southampton,8,164.86666666666667,True
221,"BONNELL, Miss Elizabeth",female,61.0,True,,1st Class Passenger,True,Southampton,8,26.55,True
222,"BOOTHBY, Mr Walter Thomas",male,37.0,True,2nd Class Bedroom Steward,Victualling Crew,False,Southampton,[107],0.0,False
223,"BOREBANK, Mr John James",male,41.0,True,Property Developer / Real Estate,1st Class Passenger,True,Southampton,,26.55,False
224,"BOSTANDJIEV, Mr Gencho",male,26.0,True,General Labourer,3rd Class Passenger,True,Southampton,,7.895833333333333,False
225,"BOSTON, Mr William John",male,33.0,True,Assistant Deck Steward (1st Class),Victualling Crew,False,Belfast,,0.0,False
226,"BOTSFORD, Mr William Hull",male,25.0,True,,2nd Class Passenger,True,Southampton,,13.0,False
227,"BOTT, Mr William Thomas",male,46.0,True,Greaser,Engineering Crew,False,Southampton,,0.0,False
228,"BOUGHTON, Mr Bernard John",male,24.0,True,First class saloon steward,Victualling Crew,False,Southampton,,0.0,False
229,"BOULOS, Mr Hanna",male,18.0,True,General Labourer,3rd Class Passenger,True,Cherbourg,,7.2250000000000005,False
230,"BOURKE, Miss Mary",female,40.0,True,,3rd Class Passenger,True,Queenstown,,7.75,False
231,"BOURKE, Mrs Catherine",female,32.0,True,Housewife,3rd Class Passenger,True,Queenstown,,15.5,False
232,"BOURKE, Mr John",male,42.0,True,Farmer,3rd Class Passenger,True,Queenstown,,15.5,False
233,"BOWEN, Miss Grace Scott",female,45.0,True,Governess,1st Class Passenger,True,Cherbourg,4,262.375,True
234,"BOWEN, Mr David John 'Dai'",male,20.0,True,Pugilist,3rd Class Passenger,True,Southampton,,16.1,False
235,"BOWERMAN, Miss Elsie Edith",female,22.0,True,,1st Class Passenger,True,Southampton,6,55.0,True
236,"BOWKER, Miss Ruth Harwood",female,31.0,True,Cashier,Restaurant Staff,False,Southampton,6,0.0,True
237,"BOXHALL, Mr Joseph Groves",male,28.0,True,4th. Officer,Deck Crew,False,Belfast,2,0.0,True
